 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  7  8  9 10 11 12 13 14 15 16  1  2  3  4 
 9 10 11 12 13 14 15 16  1  2  3  4  5  6  7  8 
13 14 15 16  1  2  3  4  5  6  7  8  9 10 11 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  7  1  9 10  8 12 13 11 15 16 14  2  3  4 
 9 10 11  2 13 14  5 16  1 12  3  4 15  6  7  8 
13 14 15  3  1  2  6  4  5  9  7  8 16 10 11 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  4  8  9  7 11 12 10 14 15 16  1  2  3 13 
 9 10  1 12 13  8 15 16 11  2  3  4  5  6  7 14 
13 14  2 16  1  5  3  4 12  6  7  8  9 10 11 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  4  1  9  7  8 12 10 11 15 16 14  2  3 13 
 9 10  1  2 13  8  5 16 11 12  3  4 15  6  7 14 
13 14  2  3  1  5  6  4 12  9  7  8 16 10 11 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  3  7  8  6 10 11 12 13 14 15  9  1  2 16  4 
 9  4 11 12  7 14 15 16  1  2  3 10  5  6 13  8 
13  1 15 16  8  2  3  4  5  6  7 11  9 10 14 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  3  7  1  6 10  8 12 13 11 15  9 14  2 16  4 
 9  4 11  2  7 14  5 16  1 12  3 10 15  6 13  8 
13  1 15  3  8  2  6  4  5  9  7 11 16 10 14 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  3  4  8  6  7 11 12 10 14 15  9  1  2 16 13 
 9  4  1 12  7  8 15 16 11  2  3 10  5  6 13 14 
13  1  2 16  8  5  3  4 12  6  7 11  9 10 14 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  3  4  1  6  7  8 12 10 11 15  9 14  2 16 13 
 9  4  1  2  7  8  5 16 11 12  3 10 15  6 13 14 
13  1  2  3  8  5  6  4 12  9  7 11 16 10 14 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 3  4  5  7  6  1  8  2 11 12 13 15 14  9 16 10 
 5  7  6  8  1  3  2  4 13 15 14 16  9 11 10 12 
 6  8  1  2  3  5  4  7 14 16  9 10 11 13 12 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 3  4  5  7  6  1  8  2 10 11 12  9 14 15 16 13 
 5  7  6  8  1  3  2  4 11 12  9 10 15 16 13 14 
 6  8  1  2  3  5  4  7 12  9 10 11 16 13 14 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  7  8  9 10 11  5 13 14 12 16  1 15  3  4 
 3 10 11 12 13 14 15  6  1  2  9  4  5 16  7  8 
 4 14 15 16  1  2  3  7  5  6 10  8  9 13 11 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  7  1  9 10  8  5 13 11 12 16 14 15  3  4 
 3 10 11  2 13 14  5  6  1 12  9  4 15 16  7  8 
 4 14 15  3  1  2  6  7  5  9 10  8 16 13 11 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  4  8  9  7 11  5 10 14 12 16  1 15  3 13 
 3 10  1 12 13  8 15  6 11  2  9  4  5 16  7 14 
 4 14  2 16  1  5  3  7 12  6 10  8  9 13 11 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  4  1  9  7  8  5 10 11 12 16 14 15  3 13 
 3 10  1  2 13  8  5  6 11 12  9  4 15 16  7 14 
 4 14  2  3  1  5  6  7 12  9 10  8 16 13 11 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  3  7  8  6 10 11  5 13 14 12  9  1 15 16  4 
 3  4 11 12  7 14 15  6  1  2  9 10  5 16 13  8 
 4  1 15 16  8  2  3  7  5  6 10 11  9 13 14 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  3  7  1  6 10  8  5 13 11 12  9 14 15 16  4 
 3  4 11  2  7 14  5  6  1 12  9 10 15 16 13  8 
 4  1 15  3  8  2  6  7  5  9 10 11 16 13 14 12 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  3  4  8  6  7 11  5 10 14 12  9  1 15 16 13 
 3  4  1 12  7  8 15  6 11  2  9 10  5 16 13 14 
 4  1  2 16  8  5  3  7 12  6 10 11  9 13 14 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  3  4  1  6  7  8  5 11 12 13 15 14  9 16 10 
 3  4  1  2  7  8  5  6 13 15 14 16  9 11 10 12 
 4  1  2  3  8  5  6  7 14 16  9 10 11 13 12 15 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  3  4  1  6  7  8  5 10 11 12  9 14 15 16 13 
 3  4  1  2  7  8  5  6 11 12  9 10 15 16 13 14 
 4  1  2  3  8  5  6  7 12  9 10 11 16 13 14 15 

19
