 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  7  8  1  2  3  4 13 14 15 16  9 10 11 12 
 9 10 11 12 13 14 15 16  1  2  3  4  5  6  7  8 
13 14 15 16  9 10 11 12  5  6  7  8  1  2  3  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  7  3  1  2  8  4 13  9 15 16 14 10 11 12 
 9 10 11  2 13 14  5 16  1 12  3  4 15  6  7  8 
13 14 15  1  9 10  6 12  5 11  7  8 16  2  3  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  4  8  1  2  3  7 10 14 15 16  9 13 11 12 
 9 10  1 12 13 14 15  6 11  2  3  4  5 16  7  8 
13 14  2 16  9 10 11  5 12  6  7  8  1 15  3  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  6  4  3  1  2  8  7 10  9 15 16 14 13 11 12 
 9 10  1  2 13 14  5  6 11 12  3  4 15 16  7  8 
13 14  2  1  9 10  6  5 12 11  7  8 16 15  3  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  1  7  8  6  2  3  4 13 14 15 11  9 10 16 12 
 9  4 11 12  7 14 15 16  1  2  3 10  5  6 13  8 
13  3 15 16  8 10 11 12  5  6  7  9  1  2 14  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  1  7  3  6  2  8  4 13  9 15 11 14 10 16 12 
 9  4 11  2  7 14  5 16  1 12  3 10 15  6 13  8 
13  3 15  1  8 10  6 12  5 11  7  9 16  2 14  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  1  4  8  6  2  3  7 10 14 15 11  9 13 16 12 
 9  4  1 12  7 14 15  6 11  2  3 10  5 16 13  8 
13  3  2 16  8 10 11  5 12  6  7  9  1 15 14  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 5  1  4  3  6  2  8  7 10  9 15 11 14 13 16 12 
 9  4  1  2  7 14  5  6 11 12  3 10 15 16 13  8 
13  3  2  1  8 10  6  5 12 11  7  9 16 15 14  4 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  7  8  1  5  3  4 13 14 12 16  9 10 11 15 
 3 10 11 12 13  8 15 16  1  2  9  4  5  6  7 14 
 4 14 15 16  9  7 11 12  5  6 10  8  1  2  3 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  7  3  1  5  8  4 13  9 12 16 14 10 11 15 
 3 10 11  2 13  8  5 16  1 12  9  4 15  6  7 14 
 4 14 15  1  9  7  6 12  5 11 10  8 16  2  3 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  4  8  1  5  3  7 10 14 12 16  9 13 11 15 
 3 10  1 12 13  8 15  6 11  2  9  4  5 16  7 14 
 4 14  2 16  9  7 11  5 12  6 10  8  1 15  3 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  6  4  3  1  5  8  7 10  9 12 16 14 13 11 15 
 3 10  1  2 13  8  5  6 11 12  9  4 15 16  7 14 
 4 14  2  1  9  7  6  5 12 11 10  8 16 15  3 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  1  7  8  6  5  3  4 13 14 12 11  9 10 16 15 
 3  4 11 12  7  8 15 16  1  2  9 10  5  6 13 14 
 4  3 15 16  8  7 11 12  5  6 10  9  1  2 14 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  1  7  3  6  5  8  4 13  9 12 11 14 10 16 15 
 3  4 11  2  7  8  5 16  1 12  9 10 15  6 13 14 
 4  3 15  1  8  7  6 12  5 11 10  9 16  2 14 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  1  4  8  6  5  3  7 10 14 12 11  9 13 16 15 
 3  4  1 12  7  8 15  6 11  2  9 10  5 16 13 14 
 4  3  2 16  8  7 11  5 12  6 10  9  1 15 14 13 

 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 
 2  1  4  3  6  5  8  7 10  9 12 11 14 13 16 15 
 3  4  1  2  7  8  5  6 11 12  9 10 15 16 13 14 
 4  3  2  1  8  7  6  5 12 11 10  9 16 15 14 13 

16
